symbol,timeframe,open_time,close_time,open,high,low,close,volume,trades
BTCUSDT,1d,1507766400000,1507852799999,4821.43000000,5439.99000000,4810.16000000,5430.00000000,1276.70148200,8030
BTCUSDT,1d,1507852800000,1507939199999,5439.99000000,5846.17000000,5379.84000000,5649.98000000,1879.82762000,11663
BTCUSDT,1d,1507939200000,1508025599999,5650.00000000,5900.00000000,5580.01000000,5869.99000000,970.75904600,6259
BTCUSDT,1d,1508025600000,1508111999999,5855.03000000,5922.30000000,5400.01000000,5709.99000000,1343.52337500,7452
BTCUSDT,1d,1508112000000,1508198399999,5710.00000000,5788.91000000,5585.19000000,5760.02000000,1528.99646200,9153
BTCUSDT,1d,1508198400000,1508284799999,5760.00000000,5774.98000000,5508.63000000,5595.00000000,1429.86937600,9755
BTCUSDT,1d,1508284800000,1508371199999,5595.00000000,5596.00000000,5037.95000000,5512.06000000,2317.80437300,14824
BTCUSDT,1d,1508371200000,1508457599999,5513.00000000,5710.00000000,5490.26000000,5683.90000000,1881.72210700,11553
BTCUSDT,1d,1508457600000,1508543999999,5683.31000000,6110.00000000,5600.00000000,6010.01000000,1972.97722000,11656
BTCUSDT,1d,1508544000000,1508630399999,6013.72000000,6171.00000000,5850.03000000,6024.97000000,1664.30769300,10182
BTCUSDT,1d,1508630400000,1508716799999,6003.27000000,6060.00000000,5720.03000000,5950.02000000,1362.09221600,8846
BTCUSDT,1d,1508716800000,1508803199999,5975.00000000,6080.00000000,5621.03000000,5915.93000000,1812.55771500,10736
BTCUSDT,1d,1508803200000,1508889599999,5909.47000000,5925.00000000,5450.00000000,5477.03000000,2580.41876700,13075
BTCUSDT,1d,1508889600000,1508975999999,5506.92000000,5704.96000000,5286.98000000,5689.99000000,2282.81320500,12026
BTCUSDT,1d,1508976000000,1509062399999,5670.10000000,5939.99000000,5650.00000000,5861.77000000,1972.96588200,11429
BTCUSDT,1d,1509062400000,1509148799999,5861.77000000,5980.00000000,5649.24000000,5768.83000000,1403.70641600,8305
BTCUSDT,1d,1509148800000,1509235199999,5768.79000000,5850.02000000,5630.03000000,5719.64000000,1276.75441200,8556
BTCUSDT,1d,1509235200000,1509321599999,5709.98000000,6189.88000000,5648.01000000,6169.98000000,1804.77817300,10651
BTCUSDT,1d,1509321600000,1509407999999,6133.01000000,6248.68000000,6030.00000000,6120.50000000,1473.68704300,9027
BTCUSDT,1d,1509408000000,1509494399999,6120.52000000,6498.01000000,6100.00000000,6463.00000000,1511.77492500,12503
BTCUSDT,1d,1509494400000,1509580799999,6463.00000000,6774.67000000,6338.02000000,6753.98000000,1675.61518800,16775
BTCUSDT,1d,1509580800000,1509667199999,6753.98000000,7300.00000000,6685.10000000,7019.98000000,2503.61080300,20222
BTCUSDT,1d,1509667200000,1509753599999,7010.31000000,7346.34000000,6923.00000000,7115.04000000,1891.49759200,15375
BTCUSDT,1d,1509753600000,1509839999999,7115.02000000,7480.99000000,6901.00000000,7357.09000000,1399.19176700,13395
BTCUSDT,1d,1509840000000,1509926399999,7357.27000000,7590.25000000,7279.02000000,7345.01000000,1207.83233000,11090
BTCUSDT,1d,1509926400000,1510012799999,7345.10000000,7401.00000000,6906.00000000,6960.12000000,1763.01926100,13525
BTCUSDT,1d,1510012800000,1510099199999,6981.72000000,7198.49000000,6901.00000000,7064.04000000,1440.25949400,13132
BTCUSDT,1d,1510099200000,1510185599999,7070.00000000,7770.02000000,6651.00000000,7303.00000000,2822.29880200,24381
BTCUSDT,1d,1510185600000,1510271999999,7303.01000000,7392.00000000,7015.00000000,7079.99000000,1913.39830800,13818
BTCUSDT,1d,1510272000000,1510358399999,7079.00000000,7279.91000000,6255.01000000,6506.98000000,3254.70410500,18889
BTCUSDT,1d,1510358400000,1510444799999,6503.00000000,6797.98000000,6100.00000000,6245.05000000,2754.15686100,17840
BTCUSDT,1d,1510444800000,1510531199999,6245.05000000,6630.00000000,5325.01000000,5811.03000000,4968.48306900,31069
BTCUSDT,1d,1510531200000,1510617599999,5839.94000000,6697.47000000,5699.99000000,6465.99000000,2621.24303900,16165
BTCUSDT,1d,1510617600000,1510703999999,6465.99000000,6684.98000000,6311.07000000,6574.99000000,1254.29253100,10476
BTCUSDT,1d,1510704000000,1510790399999,6575.99000000,7298.00000000,6575.99000000,7240.06000000,1779.60584500,10313
BTCUSDT,1d,1510790400000,1510876799999,7240.14000000,7940.00000000,7076.00000000,7864.50000000,2331.95675000,14961
BTCUSDT,1d,1510876800000,1510963199999,7876.98000000,7989.00000000,7451.00000000,7699.19000000,3982.39592500,22012
BTCUSDT,1d,1510963200000,1511049599999,7680.01000000,7819.99000000,7422.00000000,7761.94000000,3954.26647700,18383
BTCUSDT,1d,1511049600000,1511135999999,7761.94000000,8123.15000000,7650.33000000,8038.00000000,3867.34044400,14897
BTCUSDT,1d,1511136000000,1511222399999,8057.11000000,8319.99000000,7954.00000000,8212.00000000,3886.63434800,20101
BTCUSDT,1d,1511222400000,1511308799999,8212.49000000,8400.00000000,7801.00000000,8119.51000000,4544.47401600,20798
